|date|text|hashtags|processed_text
192|2012-06-03|I wil ONLY play wit da Braves...& #HimToo http:// instagr.am/p/LbQYbSljMt/|#himtoo|wil only play wit da brave ... & /
193|2012-06-05|“ @BenjaminMulder : @JohnRosemore @atl_winning_33 @jhummel7 @benjamanmiller I'm pretty sure the guy ur talking about is @kylestanley #himtoo|#himtoo|: ' pretty sure the guy ur talk about be
194|2012-06-07|@eoghanisnothere #HimToo !|#himtoo|!
195|2012-06-07|@i_Am_wLT I Forgot ... #HimToo !|#himtoo|forget ... !
196|2012-06-08|@CoreyLJ3 @lifeofaprincess @nicholasodum @nicklausgilliam oh no I forgot @DeronRiffle12 #himtoo :)|#himtoo|oh no forget : )
197|2012-06-09|"@str8_ondarocks: ""@Ur_Fav_Nupe: #OnMyMIchealJordanShit "" #OnMyKobeBryantShit ....... #HimToo #Mamba #Legendary"|#onmymichealjordanshit #onmykobebryantshit #himtoo #mamba #legendary|: `` : `` ... ... .
198|2012-06-11|futurama #iloveBender #whynotZoidberg #himtoo|#ilovebender #whynotzoidberg #himtoo|futurama
199|2012-06-13|@rharris334 oh whoops! sorry @ChrisStubbsFOX #himtoo|#himtoo|oh whoop ! sorry
200|2012-06-18|Everybody makes fun of Chris bosh for being a dinosaur cause his head and neck.. But have you seen Kobe? #himtoo #justafact|#himtoo #justafact|everybody make fun of chris bosh for be dinosaur cause his head and neck.. but have you see kobe ?
201|2012-06-20|@TexasGrizzlette Yes! #HimToo #DewCrew #TXSen #Rangers #CoveringMyHashtagBases #BadBaseballJoke @StaceinTexas|#himtoo #dewcrew #txsen #rangers #coveringmyhashtagbases #badbaseballjoke|yes !
202|2012-06-21|"Quinten Berry comes up to bat and Jeffrey says ""hey Lo your man's up!"" #thethingstheysay #lovehim #himtoo"|#thethingstheysay #lovehim #himtoo|quinten berry come up to bat and jeffrey say `` hey lo your man ' up ! ''
203|2012-06-22|IF #YANIGGA want some #paper tell #him i will sighn #himtoo|#yanigga #paper #him #himtoo|if want some tell will sighn
204|2012-06-23|Up frying chicken and fires #fattweet #itstolateforthis @hasanallen #himtoo|#fattweet #itstolateforthis #himtoo|up fry chicken and fire
205|2012-06-24|“ @TM7_Era : Criminal minds” @autumgrady Aaaaaaaaaahhhhhhhhhh!!!!!! #himtoo|#himtoo|: criminal mind ! ! ! ! ! !
206|2012-06-26|I dislike that my boo thang is trying to be bestfriends with my brother -__- #NoMeGusta #SheNeedaStop #HimToo|#nomegusta #sheneedastop #himtoo|dislike that my boo thang be try to be bestfriends with my brother -__-
207|2012-06-28|Late night inability to put down @JenESmith 's Statistical Probability was too much for hubby! He slept on couch! #oops #ilovebooks #himtoo|#oops #ilovebooks #himtoo|late night inability to put down ' statistical probability be too much for hubby ! he sleep on couch !
209|2012-06-29|@ima_a_asshole I still love you ballqft! #himtoo #iforgotone|#himtoo #iforgotone|still love you ballqft !
210|2012-07-02|Kanye did kill his performance ... #himtoo|#himtoo|kanye do kill his performance ...
211|2012-07-06|gonna bare the heat and watch brad play some soccer #wishmeluck #himtoo|#wishmeluck #himtoo|gon na bare the heat and watch brad play some soccer
212|2012-07-09|Andrew Bynum wearing the wine and gold? #SignMeUp #HimToo|#signmeup #himtoo|andrew bynum wear the wine and gold ?
213|2012-07-09|RT @BDCLE29 : Andrew Bynum wearing the wine and gold? #SignMeUp #HimToo|#signmeup #himtoo|: andrew bynum wear the wine and gold ?
214|2012-07-09|I make her purr like a cat! @ilovetmills #HimToo|#himtoo|make her purr like cat !
215|2012-07-16|Dickkkkkk moveeeeee #HimToo|#himtoo|dickkkkkk moveeeeee
216|2012-07-17|#Himtoo <3 http:// instagr.am/p/NLwjxwiftw/|#himtoo|< /
218|2012-07-20|Oh, and my boyfriend. #himtoo|#himtoo|oh , and my boyfriend .
219|2012-07-24|I'm so possessive. #hesmine ! #himtoo !|#hesmine #himtoo|' so possessive . ! !
220|2012-07-27|@FirePillowRock Couldn't fit more names #HimToo|#himtoo|couldn ' fit more name
221|2012-07-29|Uhm, Men's Bar? Good, you? #London2012 #bethecouldthrowmearound #himtoo #goldforeveryone|#london2012 #bethecouldthrowmearound #himtoo #goldforeveryone|uhm , men ' bar ? good , you ?
222|2012-07-31|I loooove #CriminalMinds @Vangsness and @GUBLERNATION are hands down my favourite actors :P #DontForgetShemar #HimToo :P <3|#criminalminds #dontforgetshemar #himtoo|loooove and be hand down my favourite actors : : <
223|2012-08-02|Really, wow. #HimToo ?|#himtoo|really , wow . ?
224|2012-08-04|Been excited to move to Utah since February and now I'm not so sure if I want to move anymore :( #missing #everyone #already #himtoo|#missing #everyone #already #himtoo|be excite to move to utah since february and now ' not so sure if want to move anymore : (
225|2012-08-06|LETS GO BOLT!! and the usa guy... #himtoo|#himtoo|let go bolt ! ! and the usa guy ...
226|2012-08-08|Yaaayy late night taco bell quesadilla ruun #boyfriendlovesme #cantblamehim #imprettyawesome #himtoo|#boyfriendlovesme #cantblamehim #imprettyawesome #himtoo|yaaayy late night taco bell quesadilla ruun
228|2012-08-11|#HimToo @Kitchen http:// instagr.am/p/OM3PhUI-6X/|#himtoo|/
229|2012-08-12|@DanyellColeman true... But #himtoo|#himtoo|true ... but
230|2012-08-17|@van_attitude1 how could I forget him! #himtoo & Matt Kearney|#himtoo|how could forget him ! & matt kearney
231|2012-08-20|nanananananananananana Jela Jelavic Jelavic Jela Jelavic #RoyalHairForce #himtoo|#royalhairforce #himtoo|jela jelavic jelavic jela jelavic
233|2012-08-26|Oh and @Decon147 #himtoo|#himtoo|oh and
234|2012-08-27|Hard to believe in one week I'm going to university.. To live in @markjessome dorm #weredidthetimego #wishmeluck #himtoo|#weredidthetimego #wishmeluck #himtoo|hard to believe in one week ' go to university.. to live in dorm
235|2012-08-27|I just want my mom back. My house back, my friends back. I want my damn life back.. #HimToo|#himtoo|just want my mom back . my house back , my friends back . want my damn life back..
236|2012-08-28|I'm in love with his smile..... #HimToo|#himtoo|' in love with his smile ... ..
237|2012-08-30|Even if we aren't close. This still pisses me off. #himtoo|#himtoo|even if we aren ' close . this still piss me off .
238|2012-08-31|Running into Bill Dodd at longhorn is my favorite #lovethatman almost as good as my 15 minute convo with coach b today #himtoo|#lovethatman #himtoo|run into bill dodd at longhorn be my favorite almost as good as my minute convo with coach today
239|2012-09-01|Woooooooooooord UP #HimToo !!!!!!! “ @Snookieeeeee SHE A HOE LMAO”|#himtoo|woooooooooooord up ! ! ! ! ! ! ! she hoe lmao
240|2012-09-01|#HimToo smh “ @Kortnee_A “ @Snookieeeeee she did that shit out of spite””|#himtoo|smh she do that shit out of spite
242|2012-09-05|Effffffffffffffffffffff you , homewrecker / life ruiner / horrible person / I dont even know . #sumsitup #sick #upset #jerk #hateher #himtoo|#sumsitup #sick #upset #jerk #hateher #himtoo|you , homewrecker / life ruiner / horrible person / dont even know .
243|2012-09-05|@alissamb I Miss You & I Love You... #HimToo|#himtoo|miss you & love you ...
244|2012-09-08|@Michael_McCann8 @cargin_1 @john_carron @jameslav91 @kevdoyle13 @kieranc1982 @_kobo I wish #sendhimoff #andhim #himtoo #wrestling_|#sendhimoff #andhim #himtoo #wrestling_|wish
245|2012-09-09|Has Michael phelps got my #Vegas itinerary?! #stalker #XS #calvinharris #himtoo|#vegas #stalker #xs #calvinharris #himtoo|have michael phelps get my itinerary ? !
246|2012-09-09| @NotoriousLoso : When you forget her that's when she pop up #himtoo|#himtoo|: when you forget her that ' when she pop up
247|2012-09-09|I don't know about anyone else, but I'm jealous of @therock 's Saturday night. #LooksGood #HimToo|#looksgood #himtoo|don ' know about anyone else , but ' jealous of ' saturday night .
248|2012-09-10|Seriously want to punch andy murrays ball bag face mother right in the throat #horriblelookingcunt #himtoo|#horriblelookingcunt #himtoo|seriously want to punch andy murrays ball bag face mother right in the throat
249|2012-09-11|I love the life ii got....&& everyone in it!! #HimToo :)|#himtoo|love the life ii get ... . & & everyone in it ! ! : )
250|2012-09-12|@madison_farrell I actually hate you though #himtoo #hahaha|#himtoo #hahaha|actually hate you though
251|2012-09-14|“@JawkneeQ: I wanna see Pitch Perfect just for Fat Amy.” And that one guy in the shower #himtoo|#himtoo|: wan na see pitch perfect just for fat amy . and that one guy in the shower
252|2012-09-19| @RayThaJerk : @FLIPTJRELL23 naw E ruined it #HimToo|#himtoo|: naw ruin it
253|2012-09-20|So cute when he sleeps #loveit #himtoo https://twitter.com/ashleyy_skinner/status/248614624189087744/photo/1 pic.twitter.com/DVbhJRrP|#loveit #himtoo|so cute when he sleep ashleyy_skinner
254|2012-09-22|Tonight Tho>>> INDIAN PRIDE #GoodGame #HimToo|#goodgame #himtoo|tonight tho > > > indian pride
255|2012-09-23|dis punk ass niqqa called da police on me smh #notcool #bitchmove #fckdapolice #himtoo #really but yu Real???? lol oh|#notcool #bitchmove #fckdapolice #himtoo #really|dis punk ass niqqa call da police on me smh but yu real ? ? ? ? lol oh
256|2012-09-23|What @kelsleezy just sent me>>>>> #loveher #himtoo  pic.twitter.com/wX0KTRQC|#loveher #himtoo|what just send me > > > > > 
258|2012-09-28|We were just too damn young to know any better @LukeBryanOnline #lovethatsong #himtoo|#lovethatsong #himtoo|we be just too damn young to know any better
259|2012-09-28|Kinda guilty not mentioning my Nick Jonas crush, too, though... #himtoo|#himtoo|kinda guilty not mention my nick jonas crush , too , though ...
260|2012-09-28|@CarterRynda my bad! #himtoo|#himtoo|my bad !
261|2012-10-03|<------- #HimToo RT @thuglifedevin: <----- #WontBePartakingInThisEventBecauseItsTeamVirginsWhoGetNoTypeOfPlay RT @Rand : #NationalHaveSexDay|#himtoo #wontbepartakinginthiseventbecauseitsteamvirginswhogetnotypeofplay #nationalhavesexday|< -- -- -- - : < -- -- - :
264|2012-10-08|@10JeremyScott10 we all comin #himtoo to Toledo for halloween|#himtoo|we all comin to toledo for halloween
265|2012-10-09|Have your pity party somewhere else princess. It's your own fault #ThisGirl <<< #HimToo <<<|#thisgirl #himtoo|have your pity party somewhere else princess . it ' your own fault < < < < < <
266|2012-10-10|Did not know Bryce Harper's nickname was Bambam. #himtoo #MLB #playoffs|#himtoo #mlb #playoffs|do not know bryce harper ' nickname be bambam .
267|2012-10-11|@jkitt9 THANK YOU #loveyou #himtoo|#loveyou #himtoo|thank you
269|2012-10-14|itsa boutta be OOOONNNNNNN here tonight ^_^ lotta old people i havent seen in a while pullin thru, excited as fuck:) #SheBetterCome #HimToo|#shebettercome #himtoo|itsa boutta be oooonnnnnnn here tonight ^^ lotta old people havent see in while pullin thru , excite as fuck : )
270|2012-10-15|@AutumnSkye2016 Damn near all of them. To me #HimToo . Even tho he isnt to you. i think the only one thats not; is @PHarr13|#himtoo|damn near all of them . to me . even tho he isnt to you . think the only one thats not ; be
271|2012-10-16|@kurtisbedard oh yeah! I forgot about him.. LMFAO #himtoo|#himtoo|oh yeah ! forget about him.. lmfao
272|2012-10-17|MT @Chr1sR0berts : #Gidiot pic.twitter.com/jdi3MTax #tories #idiotchild #uselesstwat #cameron #himtoo|#gidiot #tories #idiotchild #uselesstwat #cameron #himtoo|mt :
273|2012-10-18|When you are always cold <<<.. #havetousenineblankets @BaileyCapron #himtoo|#havetousenineblankets #himtoo|when you be always cold < < < ..
274|2012-10-23|Imma tie my son shoes extra tight tomorrow bc I already know what he gotta deal wit. #itwillnevachange I love walkin in my shoes tho #himtoo|#itwillnevachange #himtoo|imma tie my son shoe extra tight tomorrow bc already know what he get ta deal wit . love walkin in my shoe tho
275|2012-10-25|Cole #himtoo http:// instagr.am/p/RMMj-qgeLj/|#himtoo|cole /
277|2012-10-28|What I wouldn't give to have Derek Hale's black 2011 Camaro... #gorgeous #himtoo|#gorgeous #himtoo|what wouldn ' give to have derek hale ' black camaro ...
278|2012-10-31|@HellsPresage http:// bit.ly/N4NbiP #Yes #HimToo #Please|#yes #himtoo #please|nbip
279|2012-11-01|#himtoo . Have a fun, safe night- pic.twitter.com/La0iwSPb|#himtoo|. have fun , safe
280|2012-11-04|My conversations with Ben.>> #CrackMyselfUp #HimToo .(:|#crackmyselfup #himtoo|my conversations with ben. > > . ( :
282|2012-11-08|@craigmanatt omg shut up lol not funny. #himtoo|#himtoo|omg shut up lol not funny .
283|2012-11-15|#HIMTOO ----> RT @OutDaGateCash @OutDaGateSolo <~~~~~ mr make it rain|#himtoo|-- -- > < ~~~~~ mr make it rain
284|2012-11-15|THEY BOTH BITCH U BETTA GRAB YOUR UMBRELLA “ @OutDaGateSolo : #HIMTOO ----> RT @OutDaGateCash @OutDaGateSolo <~~~~~ mr make it rain”|#himtoo|they both bitch betta grab your umbrella : -- -- > < ~~~~~ mr make it rain
285|2012-11-15|“ @Country_Voices : When you think of Luke Bryan, I hope you think of me.” #HimToo|#himtoo|: when you think of luke bryan , hope you think of me .
287|2012-11-25|#HimToo * RT @LovePhrase : If you really liked her, you'd fight for her.|#himtoo|* : if you really like her , you ' fight for her .
288|2012-11-26|The nigga said chilllll and he still did it lol#hadmeweak #himtoo|#hadmeweak #himtoo|the nigga say chilllll and he still do it lol
290|2012-11-27|Tyga >>> #HimToo|#himtoo|tyga > > >
291|2012-11-28|“@hannuhbanannuhh: Too tired to function.” @Dee_SoSteeezy #HimToo|#himtoo|: too tire to function .
292|2012-11-29|@LauraGerencser my b #himtoo|#himtoo|my
293|2012-11-30|@iambensmom @rodneytrask I'm both slightly disturbed and slightly jealous! Look out Stavanger! #funandgames #buymesomethingnice #himtoo|#funandgames #buymesomethingnice #himtoo|' both slightly disturb and slightly jealous ! look out stavanger !
294|2012-12-02|Ill be damned if I trip over a boy when I never even trip over my own mother. #getitright #forgetyou #himtoo|#getitright #forgetyou #himtoo|ill be damn if trip over boy when never even trip over my own mother .
295|2012-12-04|Holy crap I'm balls deep in this delicious puppy cow @jlock895 made me #bestever #himtoo|#bestever #himtoo|holy crap ' ball deep in this delicious puppy cow make me
296|2012-12-07|@dratcliffe77 Working with people smarter than you is amazing. Just enjoying the ride! #pgastrong #kylenotontwitter #himtoo !|#pgastrong #kylenotontwitter #himtoo|work with people smarter than you be amaze . just enjoy the ride ! !
298|2012-12-11|@nolanLeah @EllenFinucane im actually referring to a fellow tutorialor in this case but i know who you think i meant leah haha #himtoo #woo|#himtoo #woo|im actually refer to fellow tutorialor in this case but know who you think mean leah haha
300|2012-12-13|@BussinMONROE We All Have That 1Nigga. #HimToo|#himtoo|we all have that .
301|2012-12-14|@ChiTilliDie23 DRose has kids? I didn't know. Lol #himtoo|#himtoo|drose have kid ? didn ' know . lol
302|2012-12-16|@mdurk11 hahaha #ilove #himtoo #jk #youcanhavehim|#ilove #himtoo #jk #youcanhavehim|hahaha
304|2012-12-16|@DtrackstaP Lol dont talk about my brother (Will) you know he slow . #HimToo|#himtoo|lol dont talk about my brother ( will ) you know he slow .
305|2012-12-18|ive been singing all of justins songs around the house all day and i think my family hates me #thinkimobsessed #ilikeit #himtoo|#thinkimobsessed #ilikeit #himtoo|ive be sing all of justins songs around the house all day and think my family hat me
307|2012-12-24|@mike50004 @andyd96 @shelleyanorphan Good Evans ;-) #HimToo|#himtoo|good evans ; - )
308|2012-12-24|@Ya_mothas_house u got d dick lol #himtoo I knew one of u would respond|#himtoo|get dick lol know one of would respond
309|2012-12-24|waiting for the day when leo realises how patient/awesome i have been for past 26 months that he's been at uni #gograce #himtoo #butstill|#gograce #himtoo #butstill|wait for the day when leo realise how patient have be for past months that he ' be at uni
311|2012-12-25|This is noahboi808 and I. Normal conversation between us #feelinggood #imanidiot #himtoo #yeahyou http:// instagr.am/p/Tp5fvMr45y/|#feelinggood #imanidiot #himtoo #yeahyou|this be and . normal conversation between /
312|2012-12-26|@shaggs23 we only get 140 characters #himtoo #hardenup|#himtoo #hardenup|we only get character
313|2012-12-27|@Jose_torr93 @kaymagicc @commando_lando2 haha alright, sorry I don't really know him, #himtoo (;|#himtoo|haha alright , sorry don ' really know him , ( ;
314|2012-12-28|@Em_Biitch @___chelseaaa yea #HimToo Lmao!!!|#himtoo|yea lmao ! ! !
315|2012-12-28| @ItsTyYo : I'm alittle too comfortable around Sam. #rippinass  @LoganConnors018 #himtoo|#rippinass #himtoo|: ' alittle too comfortable around sam .
316|2012-12-28|#QuestionsPréféréesDesDarons Ta Faiis Tes Devoiirs ? #HimToo|#questionspr #himtoo|ta faiis tes devoiirs ?
317|2012-12-30|I feel like crap.... #sickish #himtoo #awesome|#sickish #himtoo #awesome|feel like crap ... .
318|2012-12-31|Lost faith in the world a long time ago. You're just more evidence. #fuckyou #himtoo|#fuckyou #himtoo|lose faith in the world long time ago . you 're just more evidence .
320|2012-12-31|#FavoritePeopleOf2012 oh I forgot @ahmadblack35 #himtoo|#favoritepeopleof2012 #himtoo|oh forget
321|2013-01-03|Blake does the most #himtoo lol|#himtoo|blake do the most lol
322|2013-01-03|@Diebs4 explain the one about Blake does the most #himtoo|#himtoo|explain the one about blake do the most
323|2013-01-06|Can we talk about this for a sec ... #GetMeThat .... #HimToo pic.twitter.com/zi1KU5D1|#getmethat #himtoo|can we talk about this for sec ... ... .
324|2013-01-07|@lemmeholliatcha #YOUCHEATINGWHORE #HIMTOO ? #HOWCOULDYOU #YOUKNOWWHATWILLHAPPEN #IDONTKNOW #YOUHATEEVERYONE #YOUREFOREVERALONE #WHY|#youcheatingwhore #himtoo #howcouldyou #youknowwhatwillhappen #idontknow #youhateeveryone #youreforeveralone #why|?
325|2013-01-08|I'd like to get together with McCarron's GF. #HimToo #3Some #ImDown RT @mitrebox : Come on Bama, get it together|#himtoo #3some #imdown|' like to get together with mccarron ' gf . : come on bama , get it together
326|2013-01-12|Ooooh.... I would mess a girl up if they touched Devon any other way besides hug him.. #himtoo #protectivecrazygf #idontcare #myman|#himtoo #protectivecrazygf #idontcare #myman|ooooh ... . would mess girl up if they touch devon any other way besides hug him..
327|2013-01-15|after texting me askin who it was about, i thought about it... and i guess it can pertain to more than one person..... #HimToo|#himtoo|after texting me askin who it be about , think about it ... and guess it can pertain to more than one person ... ..
328|2013-01-16|@ahumes09 same #BruinsAreBack #yourturnbigshot #LetsPackTheHouse #BestLivePerformers #heparties #himtoo|#bruinsareback #yourturnbigshot #letspackthehouse #bestliveperformers #heparties #himtoo|same
329|2013-01-17|Facebook high schoolers complaining about exams #nobodyfeelsbadforyou #mantiteo #himtoo|#nobodyfeelsbadforyou #mantiteo #himtoo|facebook high schoolers complain about exams
330|2013-01-22|#HowIMetMyBestfriend I don't remember how me and @JessayLovato met but yeah #himtoo|#howimetmybestfriend #himtoo|don ' remember how me and meet but yeah
331|2013-01-23|@RheaHoran #himtoo .. This. > pic.twitter.com/T7XhT04D|#himtoo|.. this . >
334|2013-01-28|yes, she put her feet up on the glass to show @conhockey19 her shoes. lol #adorable #himtoo pic.twitter.com/cOQdmxpv|#adorable #himtoo|yes , she put her feet up on the glass to show her shoe . lol
335|2013-02-03|If you like my cousin's photos, and we aren't cool anymore, I'm gonna tell her all about you. Thirsty ass nigga. #youredead #soisshe #himtoo|#youredead #soisshe #himtoo|if you like my cousin ' photos , and we aren ' cool anymore , ' gon na tell her all about you . thirsty ass nigga .
336|2013-02-04|@Let_HerLick_The: Word!! Fk him gettin a new phone. He lucky im showin him how to use it #JustDrunk #HimToo #BondingLmfao jokeee stop lyin|#justdrunk #himtoo #bondinglmfao|: word ! ! fk him gettin new phone . he lucky im showin him how to use it jokeee stop lyin
337|2013-02-04|I can't find my ring ... But my mans found hi early... F it... Ill get another 1... #himtoo #27… http:// instagr.am/p/VSidleqW3d/|#himtoo #27|can ' find my ring ... but my man find hi early ... it ... ill get another ... /
338|2013-02-04|@doeboy03 Word !! Fk him gettin a new phone. He lucky im showin him how to use it #JustDrunk #HimToo #BondingLmfao jokeee|#justdrunk #himtoo #bondinglmfao|word ! ! fk him gettin new phone . he lucky im showin him how to use it jokeee
339|2013-02-08|Andy's so helpful. Couldn't he round up all these guys & put 'em on a bus? #Himtoo|#himtoo|andy ' so helpful . couldn ' he round up all these guy & put 'em on bus ?
340|2013-02-09|oh and John Mayer. #himtoo|#himtoo|oh and john mayer .
341|2013-02-10|Had an epic weekend in DC thanks to @PRUveITorLOSEit @CourtneyChiaf @BRoscitt can't wait to do it again #douchiestbarcrawlever #himtoo !|#douchiestbarcrawlever #himtoo|have an epic weekend in dc thank to can ' wait to do it again !
342|2013-02-11|Note to self. Don't watch the grammy's with your husband. #ILoveHim #OhWaitILoveHim #HimToo|#ilovehim #ohwaitilovehim #himtoo|note to self . don ' watch the grammy ' with your husband .
344|2013-02-13|@TaylorTomczak12 She cranks, she cranks, she cranks my tractorrrrr! Lol. #yes #himtoo|#yes #himtoo|she crank , she crank , she crank my tractorrrrr ! lol .
345|2013-02-19|@jakewarfel makes good tacos. #ilovefood #himtoo #whyistherenotacoemoji|#ilovefood #himtoo #whyistherenotacoemoji|make good tacos .
346|2013-02-19|Paula Patton & Robin Thicke have to be thee sexiest celeb couple ever. I'm hating on her big time though, I'll admit that. #shesBOMB #himtoo|#shesbomb #himtoo|paula patton & robin thicke have to be thee sexiest celeb couple ever . ' hat on her big time though , 'll admit that .
347|2013-02-20|New post! :)) felt good. #slapherintheface #himtoo #indirecttweettofakebffs|#slapherintheface #himtoo #indirecttweettofakebffs|new post ! : ) ) felt good .
348|2013-02-21|Dear girl that gets everything always. Thanks again for proving you get everything. #himtoo ? #everything #hateit #angrytweet #pissedoff|#himtoo #everything #hateit #angrytweet #pissedoff|dear girl that get everything always . thank again for prove you get everything . ?
349|2013-02-23|Some scandalous shit went down today with one of my close friends. #fuckher #himtoo|#fuckher #himtoo|some scandalous shit go down today with one of my close friends .
350|2013-02-24|"I fall too fast, crash too hard, forgive too easily, and care too much."" #himtoo lol"|#himtoo|fall too fast , crash too hard , forgive too easily , and care too much . '' lol
351|2013-02-24|Everybody slp round here..... #HimToo|#himtoo|everybody slp round here ... ..
352|2013-02-24|RT @kayymarieee : Boyfriend has 9 letters but so does Starbucks. #love #coffee #love #himtoo|#love #coffee #love #himtoo|: boyfriend have letter but so do starbucks .
353|2013-02-25|@jwool94 @awitsjocelyn it was just chat. I don't wanna fight with you guys! #journalismyeah you guys are my favs.And @_Thomas_Becker #himtoo|#journalismyeah #himtoo|it be just chat . don ' wan na fight with you guy ! you guy be my favs.and
354|2013-03-01|Billy Curington >>>> #himtoo|#himtoo|billy curington > > > >
355|2013-03-02|@GMMac25 I realized I missed him after I tweeted that haha #oops #himtoo|#oops #himtoo|realize miss him after tweet that haha
356|2013-03-02|Zumba's popularity has reached out to celebrities as well! Find out who they are :D #PartyLovers #HimToo ? :O http:// bit.ly/MejQz7|#partylovers #himtoo|zumba ' popularity have reach out to celebrities as well ! find out who they be : ? :
358|2013-03-03|I HATE how she talks to so many people #himtoo #pickone|#himtoo #pickone|hate how she talk to so many people
359|2013-03-04|Yes....I luv summa me!!! ♡ ....... #himtoo @June Bug http:// instagr.am/p/WcB_aeMRGT/|#himtoo|yes ... . luv summa me ! ! ! ♡ ... ... . bug /
360|2013-03-05|Happy #munchiemonday to Bill Gates. Yes #himtoo http:// instagr.am/p/WdcQNbHYEX/|#munchiemonday #himtoo|happy to bill gate . yes /
361|2013-03-08|@ItsPuccaBitch @MikaylaHouk does that include P.B #himtoo|#himtoo|do that include .
362|2013-03-10|I bought extra bacon for dinner cause I know how much you like it My Dad the hero. #thebest #lovebacon #himtoo|#thebest #lovebacon #himtoo|buy extra bacon for dinner cause know how much you like it my dad the hero .
363|2013-03-11| @goonerson : @sophiasats i dont always blaze, but when i do its on yolo swag 420... #whosaysthat #nobodytalktoher  @KobeZhou24 #himtoo|#whosaysthat #nobodytalktoher #himtoo|: dont always blaze , but when do its on yolo swag ...
364|2013-03-12|Love it. @Meligan65 (: #himtoo <3 pic.twitter.com/CykHOWS2Yo|#himtoo|love it . ( : <
365|2013-03-13|@mkkaminski @yashxbajaj @varundayana @anyssapatel @sharmani10 @shawnmann1 I FORGOT @kamranahmed97 #himToo #SorryBud|#himtoo #sorrybud|forget
366|2013-03-16|#Babyshower #cute #lovemylife & #himtoo http:// instagr.am/p/W7lAgVA0uK/|#babyshower #cute #lovemylife #himtoo|& /
368|2013-03-18|Jesse was sleeping when I left at 645 and I just got back and he's still sleeping. And I'm the bum? Well yes but #himtoo|#himtoo|jesse be sleep when leave at and just get back and he ' still sleep . and ' the bum ? well yes but
370|2013-03-20|That truck >>> #HimToo|#himtoo|that truck > > >
371|2013-03-20|@CiaraSunshine @shit_toboggan @RickNothing hahaha! #HimToo|#himtoo|hahaha !
374|2013-03-22|My stepdad just told me not to do any lesbian things with katie tonight.... #really ? #himtoo ? Lmfao #stricklydickley|#really #himtoo #stricklydickley|my stepdad just tell me not to do any lesbian things with katie tonight ... . ? ? lmfao
375|2013-03-24|When you know someone who leads everybody on... #himtoo ?|#himtoo|when you know someone who lead everybody on ... ?
376|2013-03-26|This sub has a brother... #yoursexy ... #himtoo ? #omg|#yoursexy #himtoo #omg|this sub have brother ... ... ?
377|2013-03-26|@PaddyKennelly #HimToo lol oh hey @laurenkelly83|#himtoo|lol oh hey
378|2013-04-02|@ellie_moeller mmhhmm! #himtoo|#himtoo|mmhhmm !
380|2013-04-03|@ericaasong oh yaupppp #himtoo|#himtoo|oh yaupppp
381|2013-04-03|@AFL not Adam goodes #champion but not your after siren man. I'd have @JackRiewoldt08 or @GaryAblettJnr #isjimmybartelontwitter ? #himtoo|#champion #isjimmybartelontwitter #himtoo|not adam goodes but not your after siren man . ' have or ?
382|2013-04-04|@Amy_Vandepoele #himtoo tough crowd pic.twitter.com/h8Fa4pKwlP|#himtoo|tough crowd
384|2013-04-05|@theBESCHever_ someone else gon throw you down ;) #iseeyou #himtoo|#iseeyou #himtoo|someone else gon throw you down ; )
385|2013-04-08|GEORGE STRAIT #himtoo @CTudor02|#himtoo|george strait
387|2013-04-09| @SucksToSucks : IVE FALLEN AND I CAN'T GET UP #ManCandyMonday https://twitter.com/SucksToSucks/status/321456181212217344/photo/1 pic.twitter.com/MQdhsO2CyI  @wedontgiveaTuck #himtoo|#mancandymonday #himtoo|: ive fall and can ' get up suckstosucks
388|2013-04-12|I think I just heard my bourbon arrive home!! #allthebourbons @NancyBoi #himtoo|#allthebourbons #himtoo|think just hear my bourbon arrive home ! !
392|2013-04-23|And can I mention, his horse is sexy as fuck. #himtoo|#himtoo|and can mention , his horse be sexy as fuck .
395|2013-04-26|Going to Devon's to see him but getting to see malia too>>>> #loveher #himtoo #boyfriend #niece|#loveher #himtoo #boyfriend #niece|go to devon ' to see him but get to see malia too > > > >
396|2013-04-29|@SydneyMParker cash reward to whoever finds him for us. #holyperfect #himtoo lol|#holyperfect #himtoo|cash reward to whoever find him for . lol
397|2013-05-01|@hyltonhead1 sorry #himtoo|#himtoo|sorry
398|2013-05-05|great mood #lml #himtoo|#lml #himtoo|great mood
399|2013-05-06|Mi brother FINALLY wore his shirt!! #MiamiLoves #himtoo http:// instagram.com/p/Y_HPjAMp9z/|#miamiloves #himtoo|mi brother finally wear his shirt ! ! /
400|2013-05-07|Village deli #I 'vemissedyou #ohandaustin #himtoo|#i #ohandaustin #himtoo|village deli 'vemissedyou
401|2013-05-09|@__fullflush1__ congrats on becoming one of my new favourite players my fellow englishman #IOwnedhim #HimToo #IOwnedHimAswell|#iownedhim #himtoo #iownedhimaswell|congrats on become one of my new favourite players my fellow englishman
402|2013-05-11|Get the fuck otta here #HimToo|#himtoo|get the fuck otta here
403|2013-05-12|Where them #bostonbitches at? #hitmeup #himtoo @Bobo2533|#bostonbitches #hitmeup #himtoo|where them at ?
405|2013-05-16|@athiess16 @ryanvandervlis And @KyleGibson15 #himtoo #showerbuds|#himtoo #showerbuds|and
