,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
235,2017/04/24,1,#HimToo,"8,56271E+17",@politicususa,https://twitter.com/dddala/status/856270965549842432,0,Trump Pal Sean Hannity Accused Of Sexual Harassment As Fox News Scandal Grows httpwww politicususacom20170423tru mppalseanhannityaccusedsexualharassmentfoxnewsscandalgrowshtml …,dddala
236,2017/05/04,0,#HimToo,"8,60187E+17",@PalmerReport,https://twitter.com/buddy_dek/status/860186785955160065,1,Sen Chuck Grassley plays defense Trump weird Russian connection httpwww palmerrepocomopinionsenato rchuckgrassleyplaysdefensefortrumpbuthashisownweirdrussianconnection2581 …,buddy_dek
238,2017/05/10,1,#LockHerUp #HimToo,"8,62162E+17",,https://twitter.com/Kodie2038Donna/status/862162097303695362,0,You got right Reason Obama tizzy trying force ppl vote,Kodie2038Donna
239,2017/05/10,3,#Comey #lockherup #himtoo #draintheswamp,"8,62067E+17",,https://twitter.com/hoyagrizzag/status/862067377697050624,0,Yes plugging drain long,hoyagrizzag
240,2017/05/11,1,#queenofjookin #ADEJUNE24 #himtoo,"8,6271E+17",,https://twitter.com/Ladia_Yates/status/862709786810494977,0,That day thought could dance full video link bio … httpswww instagramcompBT7avQjOCH,Ladia_Yates
241,2017/05/11,1,#himtoo,"8,62787E+17",,https://twitter.com/stacksandranges/status/862786667152891904,0,Yeah one million Canadians providing care capacity aging parents Thank heavens brother,stacksandranges
242,2017/05/12,0,#LockHerUp #HimToo,"8,62817E+17",,https://twitter.com/CHJenkins/status/862817023151284224,0,Hillary Clinton Lobbied Bangladesh PM Behalf Clinton Foundation Donor http lnisobservercom2 01705LgOuk …,CHJenkins
243,2017/05/13,0,#anothergalaxy #himtoo,"8,63437E+17",,https://twitter.com/gnickodonnell/status/863436930871992320,0,Im delighted cyber attack Hunts view tril doesnt feel needs get invovled https twittercomthepileusstat us863388372680790025 …,gnickodonnell
244,2017/06/08,0,#color #drawnewlines #elitedancestudios #beautuful #she #us #you #himtoo #colorwithlove,"8,72853E+17",,https://twitter.com/ELITEdncstudios/status/872852868776251392,0,This … httpswww instagramcompBVFdZHgACyv,ELITEdncstudios
245,2017/06/10,0,#chihuahua #himtoo,"8,73622E+17",,https://twitter.com/myria101/status/873621674201055232,0,Sweet babies httpswww instagramcompBVK7ARLg9CJR 53wYtbUWzVZJoIdI1DOb8k1KII0 …,myria101
247,2017/07/13,0,#HisEMails #LockHimUp #HimToo #Losers #Bigly,"8,85357E+17",@realDonaldTrump,https://twitter.com/CovfefeJefe/status/885356709040054274,0,Wow daddy hate looks like son,CovfefeJefe
248,2017/07/16,1,#himtoo,"8,86485E+17",,https://twitter.com/spntrufan/status/886485431105327104,0,https twittercomLethanSass status886481693162471424 …,spntrufan
249,2017/07/23,4,#HimToo,"8,89066E+17",,https://twitter.com/JenMcB/status/889066064553721856,0,Why hard Bernard Tomic Sounds like say adolescence product parents bitter,JenMcB
251,2017/07/30,0,#blessed #inlove #withthismovie #himtoo,"8,91569E+17",,https://twitter.com/raandaLovee/status/891568619502673920,0,Just watching Lord RingsThe Two Towers husband knocked beside,raandaLovee
252,2017/07/31,0,#LockHerUp #Himtoo,"8,92103E+17",,https://twitter.com/RobinBrandon75/status/892102798074159105,0,Witness would destroy EVERYTHING good America satisfy personal greed https twittercomRealJamesWoods status891874014578315264 …,RobinBrandon75
253,2017/08/18,0,#HimToo #MLB,"8,9854E+17",,https://twitter.com/mccoym03/status/898540152741613574,0,purist fan https twittercomthecomebackst atus898537995350888449 …,mccoym03
254,2017/08/20,0,#NXTTAKEOVER #himtoo,"8,99066E+17",@WWEGraves,https://twitter.com/DHobbs28/status/899066138663030786,0,TV entrance pop legit got misty eyed,DHobbs28
255,2017/09/01,1,#BooMauer #HimToo,"9,03658E+17",,https://twitter.com/YayTortuga/status/903657892846469120,0,He didnt win https twittercomwintwinsstatu s903657584284094464 …,YayTortuga
256,2017/09/02,0,#HimToo,"9,04038E+17",@JPF01990,https://twitter.com/john_jjsjr/status/904038274511097857,0,Dont mess Iron Man Amy Of course behind suit actor struggling addiction issues,john_jjsjr
257,2017/09/13,0,#LockHimUp #LockHimUp #HimToo,"9,0805E+17",,https://twitter.com/SunflowerSoul71/status/908050490981744641,0,LOL httpswww youtubecomwatchvWeBdI0 ciLQk …,SunflowerSoul71
258,2017/09/18,0,#HimToo,"9,0973E+17",,https://twitter.com/IrishSQL/status/909730388234424320,0,And hes kind manspreading,IrishSQL
260,2017/10/08,1,#oldfashion #mylove #himtoo,"9,16809E+17",@Livery,https://twitter.com/jfarrimond/status/916809057989726208,0,Cheers httpswww instagramcompBZ9yWRGHrOu3 hK0ECKzLmK3RLX1P1nCXiyI2Y0 …,jfarrimond
